convo_id,m.iid,Player Message,Bot Response,Pleasantness,Attention,Control,Certainty,Anticipated Effort,Responsibililty,Emotion
8193,0,tell me more about no,"I've seen your profile data, citizen. You might just be the most important person on Marginal Station right now.",1.0,1.33333333333,1.33333333333,1.0,0.666666666667,1.0,sadness
8193,1,not really,"The thing is, citizen, I've got a job for a person who won't mistreat readers. Let's try this question instead.",0.666666666667,0.666666666667,1.0,0.666666666667,0.333333333333,0.333333333333,anger
8193,2,tell me more about yeah,No bigotry. Great. I'm going to tell you something.,1.66666666667,1.66666666667,1.33333333333,1.66666666667,0.666666666667,1.33333333333,joy
8193,3,can't say I hve,"Okay. Foolish question, I know, but some people come to Marginal from the other direction.",1.0,0.666666666667,0.666666666667,1.0,1.0,1.0,anger
8193,4,what direction,Anyway. You know... I don't think we have established a strong trust here.,1.0,1.0,1.66666666667,0.666666666667,1.0,1.0,anger
8193,5,okay then,(Frown.) Maybe I can find someone else. I'd be better off sending Sheba away with a nice lady pirate. ......,1.33333333333,1.66666666667,1.33333333333,1.0,1.33333333333,1.33333333333,joy
5788,0,"That's not my real name, you know.","I've seen your profile data, citizen. I am Kara. Vice Commander here, but I need to speak to you.",1.0,1.25,1.75,1.0,1.0,1.5,challenge
5788,1,tell me more about Yes,...Thanks for not giving some excuse. A lot of readers try to keep their skills quiet around here. There's something important I need to tell you.,1.5,1.75,1.75,0.75,1.0,0.5,challenge
5788,2,I am one of them.,"If you were Our Glorious Flesh Eating Emperor, you'd have an entourage and the odor of a deceased goat. ... There's an entire flotilla of imperial cruisers heading over here now.",1.5,1.25,1.75,1.25,1.0,1.5,challenge
5788,3,"Yes, and I am their scout.",Yep. Marginal Station can't keep out the entire flotilla of imperial cruisers.,1.5,1.5,1.5,0.75,1.0,1.75,challenge
5788,4,But it can try!,... I've got a daughter named Sheba. ...,1.0,1.0,1.5,1.5,1.25,1.75,joy
5788,5,why would I do that?,I don't want Sheba on Marginal when the Empire boards. ... Would you look after her?,1.0,1.0,1.75,1.25,1.25,1.5,sadness
5788,6,Why don't you want her here when the empire boards?,You're a real jerk. In any case...,1.5,1.75,1.75,1.5,1.0,0.5,frustration
6536,0,tell me more about yes,"(She looks serene.)Pleasure to meet you, citizen. You might be my new best friend.",1.66666666667,1.33333333333,1.66666666667,1.33333333333,0.666666666667,1.66666666667,joy
6536,1,tell me more about yes,...Thanks for not bullshitting me. Readers will not usually volunteer who they are. There's something important I need to tell you.,1.33333333333,1.66666666667,1.33333333333,1.66666666667,1.33333333333,2.0,anger
6536,2,tell me more about yes,"Fine. Foolish question, I know, but some people come to Marginal Station from the other direction.",1.0,1.66666666667,0.666666666667,1.0,1.0,2.0,joy
6536,3,tell me more about ok,Yep. Long range sensors have picked up an entire flotilla of imperial cruisers heading here.,1.0,1.66666666667,1.33333333333,1.66666666667,1.0,0.666666666667,anger
6536,4,that sounds bad,Marginal Station can't defend itself against an entire flotilla of imperial cruisers.,0.333333333333,1.0,0.666666666667,1.0,0.666666666667,0.666666666667,frustration
6536,5,tell me more about ok,Yep. I've got a girl named Sheba. ...,1.33333333333,2.0,1.33333333333,2.0,1.33333333333,1.33333333333,joy
6536,6,why,I don't want Sheba on Marginal Station when the Empire boards. ... But would you escort her away from here?,1.0,2.0,1.33333333333,1.33333333333,1.0,1.0,sadness
6536,7,tell me more about yes,Then we have a plan. ...,1.33333333333,1.0,1.33333333333,1.0,1.0,0.666666666667,fear
6536,8,tell me more about ok,"Thanks. This matters more than... well, do you have children?",1.0,1.66666666667,1.33333333333,1.33333333333,1.0,1.0,joy
6536,9,tell me more about yes,Then you know. ... So...,1.0,1.66666666667,1.0,1.33333333333,0.666666666667,0.666666666667,joy
6536,10,tell me more about yes,Good. ...,1.33333333333,1.66666666667,1.33333333333,2.0,1.33333333333,1.33333333333,joy
6536,11,tell me more about yes,(Frown.) ...,1.33333333333,2.0,1.33333333333,2.0,1.33333333333,1.33333333333,challenge
6536,12,dont worry,... I need you to believe I am doing my best for Sheba.,1.66666666667,1.66666666667,1.33333333333,1.66666666667,1.33333333333,1.0,sadness
6536,13,why?,"The thing is... if you hate me, she'll know. She'll read it off you. ... I don't want her to grow up thinking I didn't care about her.",1.0,1.66666666667,1.66666666667,1.66666666667,1.66666666667,1.33333333333,anger
6536,14,tell me more about ok,I'm glad you understand. ... This is Ty's responsibility. You can tell him that when you see him. ......,1.0,1.66666666667,1.33333333333,1.66666666667,1.66666666667,1.0,joy
9993,0,"tell me more about yeah, i think so","(She looks serene.)Pleasure to see you, citizen. I'm Kara. Vice Commander here. But I need to speak to you.",1.0,1.66666666667,2.0,1.66666666667,1.33333333333,1.0,joy
9993,1,"tell me more about yeah, i see a flowchart",...Thanks for not lying. Readers aren't always popular around here. I need to tell you something.,0.666666666667,1.66666666667,1.66666666667,2.0,1.66666666667,1.33333333333,joy
9993,2,actually i don't,You must be new around here. The Empire owns a bigger and bigger chunk of the galaxy.,0.666666666667,1.66666666667,1.66666666667,1.66666666667,1.66666666667,1.33333333333,challenge
9993,3,"wow, how are they holding so much territory ","Wow, citizen. ... Your database file didn't mention what a child you are. Long range sensors have picked up an entire flotilla of imperial cruisers heading to Marginal Station.",0.666666666667,1.33333333333,1.66666666667,1.33333333333,1.0,1.0,anger
9993,4,what should we do?,"If we act now, you might not wind up in an imperial brig.",0.666666666667,1.0,1.33333333333,1.33333333333,1.66666666667,0.0,fear
9993,5,"that sounds like a great idea, what do you need?","I like puppies and clean sheets, but we can't always have what we want. ...",1.0,1.66666666667,2.0,2.0,1.66666666667,0.666666666667,joy
9993,6,how shall we proceed?,Anyway. I've got a child named Sheba. ...,0.666666666667,1.33333333333,2.0,1.0,1.0,0.666666666667,challenge
9993,7,why can't you take her off the station?,I don't want Sheba on Marginal when the Empire boards. ... Would you take her with you?,0.666666666667,1.33333333333,1.0,1.66666666667,1.0,0.666666666667,challenge
9993,8,are you not coming with us?,You're heartless. Okay.,1.0,1.33333333333,2.0,1.33333333333,1.33333333333,1.33333333333,fear
1805,0,tell me more about Sure,"(She looks serene.)Pleasure to see you, good citizen. I am Kara. Vice Commander here. But I need a favor.",1.0,1.66666666667,1.66666666667,1.33333333333,1.0,1.33333333333,challenge
1805,1,tell me more about no,"The thing is, citizen, I've got a job for someone who won't mistreat a reader. Let's try this question instead.",1.0,2.0,1.66666666667,1.33333333333,1.33333333333,1.33333333333,anger
1805,2,that's true,"... (She looks disgusted.) You don't like readers. I looked all over this station for someone who might not have that prejudice. You are an unpleasant type, aren't you.",1.0,1.33333333333,1.33333333333,1.33333333333,0.666666666667,1.66666666667,anger
1805,3,because you are extremely optimistic,"Yep. I know this Station is a refueling station. But I hoped I could make it something more. But people don't feel like they owe each other anything. We don't do anniversaries, or weddings for the most part.",1.33333333333,1.33333333333,1.66666666667,1.33333333333,1.33333333333,2.0,joy
1805,4,What's next?,I'm not sure of about the repetition. ... Possibly I can find someone else. I would be better off sending Sheba away with Frank the amnesiac bartender. ......,1.66666666667,1.0,0.666666666667,1.66666666667,1.66666666667,1.33333333333,challenge
3982,0,tell me more about sure,"(She looks serene.)Pleasure to see you, citizen. Being Vice Commander of Marginal Station, I can see anyone's personal profile.",0.75,0.75,0.75,1.0,0.5,1.0,challenge
3982,1,tell me more about nope,"The thing is, citizen, I've got a job for a person who won't mistreat a reader. Let's try this question instead.",1.0,1.25,0.75,0.75,1.0,1.5,challenge
3982,2,i guess,"... (She looks disgusted.) You don't like readers. I looked all over this station for someone who might not have that prejudice. You are an unpleasant type, aren't you.",1.0,0.5,1.75,1.25,0.5,1.75,frustration
3982,3,cause life sucks,"Wow, citizen. ... Your database file didn't mention what a child you are. If Marginal were a better place, I'd have someone I trusted with Sheba already.",0.25,1.25,1.5,1.25,1.0,1.0,frustration
