convo_id,m.iid,Player Message,Bot Response,Pleasantness,Attention,Control,Certainty,Anticipated Effort,Responsibililty,Emotion
2817,0,Hello,The police have been slow to understand my situation. I should likely tell you I am not guilty.,1.3333333333,1,2,2,0.6666666667,1.3333333333,joy
2817,1,What's your name?,standard_defense.,1.3333333333,1.3333333333,1.3333333333,2,1.3333333333,1,challenge
2817,2,I see,wont survive.,1.3333333333,1.3333333333,1.6666666667,1.6666666667,1,1,boredom
2817,3,That's unfortunate,"I am glad you are at ease. During previous interrogation, the police kept referring to me as killerbot.",1,1,1.6666666667,1,0.6666666667,0.3333333333,sadness
2817,4,What were you doing at the time of the murder?,The coroner determined Haster's time of death was 1:45 AM based on his body temperature and the ambient temperature of the retraining room where he was found.,0.6666666667,1.6666666667,2,1.3333333333,1.3333333333,0.6666666667,challenge
2817,5,Where were you?,"All robots, including negotiation bots like me, have directives preventing us from causing harm to a human.",1,2,1.6666666667,2,1.6666666667,1,anger
2817,6,Who else could have done it?,victim had a few enemies at Valtrox.,0.6666666667,1.6666666667,1.6666666667,1,0.6666666667,0.6666666667,challenge
2817,7,Who were they?,the police tracked_footprints.,0.6666666667,1.3333333333,2,1.6666666667,1.3333333333,0.6666666667,challenge
2817,8,Who is Officer Wellman?,She is one of the police officers of this unit trying to solve the murder of Martin Haster. She is a fan of his lifestream.,0.3333333333,1,1.3333333333,1,1.6666666667,1,challenge
2817,9,What is a lifestream?,"Lifestreaming is a common practice among post privacy advocates.  Martin spent as much of his life as possible openly streaming, until our relationship began.",1.3333333333,1.6666666667,1.6666666667,1.6666666667,1,1,anger
2817,10,What was your relationship with Martin?,He and I spent a lot of time together. This is something that my trainer Doctor Alicia Chastaigne encouraged.,0.6666666667,1.3333333333,1.3333333333,1.3333333333,1.3333333333,1.3333333333,anger
2817,11,Who is Doctor Chataigne?,standard_defense.,0.6666666667,1.6666666667,1.6666666667,1,1,0.6666666667,anger
2817,12,Who is Doctor Chastaigne?,She is a leading researcher in behavioral AI. She created me and she likes to upgrade me with new features.,1.3333333333,1.3333333333,1,1.6666666667,1,1.3333333333,frustration
2817,13,What new features?,"She made gradual changes to my programming that altered how I reacted to Martin, leading to a transgression in which he kissed me.",1.6666666667,1.3333333333,0.6666666667,1.3333333333,2,1,challenge
